Unique ID,Title,Category,Proposed URL,Source,Owner,Status
1,Jellyfish,Jellyfish,jellyfish.io,http://en.wikipedia.org/wiki/Jellyfish,Jillian,Needs editing
2,Anatomy,Jellyfish,jellyfish.io/anatomy.html,http://en.wikipedia.org/wiki/Jellyfish#Anatomy,Jillian,Needs editing
3,Habitat,Jellyfish,jellyfish.io/habitat.html,http://en.wikipedia.org/wiki/Jellyfish#Habitats,Jillian,Needs editing
4,Ecology and Life Cycle,Jellyfish,jellyfish.io/ecology.html,http://en.wikipedia.org/wiki/Jellyfish#Population,Jillian,Needs editing
5,Feeding,Ecology,jellyfish.io/ecology/feeding.html,http://www.tnaqua.org/Exhibit_JLA_faq.aspx,Jillian,Needs editing
6,Predators,Ecology,jellyfish.io/ecology/predators.html,http://www.reefed.edu.au/home/explorer/animals/marine_invertebrates/corals_and_jellyfish/jellyfish,Jillian,Needs editing
7,Blooms,Ecology,jellyfish.io/ecology/blooms.html,http://en.wikipedia.org/wiki/Jellyfish#Blooms,Jillian,Needs editing
8,Toxicity,Jellyfish,jellyfish.io/toxicity.html,http://www.emedicinehealth.com/jellyfish_stings/article_em.htm,Jillian,Needs editing
9,Jellyfish Sting Symptoms and Effects,Toxicity,jellyfish.io/toxicity/stings.html,http://www.mayoclinic.com/health/jellyfish-stings/DS01119/DSECTION=treatments-and-drugs ,Jillian,Needs editing
10,Treatment,Toxicity,jellyfish.io/toxicity/treatment.html,http://www.emedicinehealth.com/jellyfish_stings/page4_em.htm,Jillian,Needs editing
11,Prevention,Toxicity,jellyfish.io/toxicity/prevention,http://www.reefed.edu.au/home/explorer/animals/marine_invertebrates/corals_and_jellyfish/jellyfish,Jillian,Needs editing
12,Box Jellyfish,Types of Jellyfish,jellyfish.io/types/box.html,http://animals.nationalgeographic.com/animals/invertebrates/box-jellyfish/?source=A-to-Z,Jillian,Needs editing
13,Irukandji jellyfish,Types of Jellyfish,jellyfish.io/types/irukandji.html,http://en.wikipedia.org/wiki/Irukandji_jellyfish,Jillian,Needs editing
14,Moon Jellyfish,Types of Jellyfish,jellyfish.io/types/moon.html,http://en.wikipedia.org/wiki/Aurelia_aurita,Jillian,Needs editing
15,Lion's mane jellyfish,Types of Jellyfish,jellyfish.io/types/lion.html,http://en.wikipedia.org/wiki/Lion's_mane_jellyfish,Jillian,Needs editing
,,,,,,
